Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2016_q3,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2016,3,,,30,174
2017_q4,,Hernia Repair - Laparoscopic Umbilical,,Total,Provincial,2017,4,49,180,85,287
2017_q4,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2017,4,,,11,18
2016_q4,,Kidney / Upper Urinary Tract,,Total,Provincial,2016,4,14,59,43,139
2018_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2018,1,,,65,91
2018_q1,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2018,1,94,252,182,492
2016_q3,,Septoplasty,,Total,Provincial,2016,3,65,231,82,235
2018_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2018,1,,,40,98
2016_q3,,Hemorrhoidectomy,,Zone 4,Dartmouth General,2016,3,,,85,108
2017_q3,,Bowel Resection,,Zone 4,Dartmouth General,2017,3,24,70,35,62
2017_q2,,Bowel Resection,,Zone 1,Valley Regional,2017,2,17,67,28,182
2016_q3,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2016,3,,,30,72
2017_q3,,Gallbladder Surgery,,Zone 3,Cape Breton Regional,2017,3,42,104,32,181
2018_q1,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2018,1,7,46,94,258
2017_q3,,Hip Arthroscopy,,Zone 4,Dartmouth General,2017,3,102,278,126,201
2017_q3,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,QE2,2017,3,36,182,209,524
2017_q2,,Orthopaedic Trauma,,IWK,IWK,2017,2,,,4,73
2016_q4,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2016,4,35,59,71,201
2017_q4,,Orthopaedic Trauma,,IWK,IWK,2017,4,,,4,197
2016_q3,,Bone / Cartilage Graft,,Total,Provincial,2016,3,33,64,140,229
2017_q2,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2017,2,24,111,33,76
2018_q1,,Brain Surgery  (Pediatric),,IWK,IWK,2018,1,,,65,98
2016_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,St. Marthas Regional,2016,4,11,63,38,111
2016_q4,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2016,4,42,133,27,44
2016_q4,,Male Circumcision  (Pediatric),,IWK,IWK,2016,4,28,50,89,230
2016_q3,,Cataract Surgery,,Zone 2,Cumberland Regional,2016,3,68,81,39,63
2017_q2,,Sacral Nerve Stimulation,,Total,Provincial,2017,2,34,104,67,202
2017_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2017,1,29,233,65,193
2017_q3,,Insertion Vascular Access Catheter,,Total,Provincial,2017,3,7,20,9,60
2017_q1,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2017,1,98,273,78,476
2017_q3,,Tear Duct Surgery,,Total,Provincial,2017,3,203,811,,
2018_q1,,Hip Replacement Revision,,Total,Provincial,2018,1,62,2032,26,157
2016_q3,,Cardiovascular Surgery,,Zone 4,QE2,2016,3,,,8,77
2016_q3,,Internal Defib Insertion / Loop Recorder,,Zone 4,QE2,2016,3,,,31,72
2016_q4,,Shoulder Surgery,,Zone 4,QE2,2016,4,56,291,92,231
2017_q1,,Endometrial Ablation,,Total,Provincial,2017,1,53,182,62,146
2017_q1,,Back Surgery  (Pediatric),,IWK,IWK,2017,1,,,195,276
2017_q3,,Orthopaedic Trauma,,Total,Provincial,2017,3,36,141,8,64
2017_q1,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2017,1,58,76,79,331
2016_q4,,Male Circumcision  (Adult),,Zone 4,QE2,2016,4,40,216,43,189
2016_q3,,Ankle - Arthroscopy,,Total,Provincial,2016,3,143,534,131,459
2017_q2,,Bladder Cancer Surgery,,Zone 4,QE2,2017,2,11,41,26,62
2017_q1,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2017,1,20,222,34,61
2016_q4,,Carpal Tunnel Surgery,,Zone 3,St. Marthas Regional,2016,4,73,244,41,176
2017_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2017,1,,,47,75
2016_q4,,Strabismus Surgery  (Pediatric),,Total,Provincial,2016,4,69,382,158,429
2018_q1,,Gastric Surgery,,IWK,IWK,2018,1,,,26,42
2016_q3,,Knee Scope,,Zone 4,Dartmouth General,2016,3,59,237,44,180
2017_q4,,Video-Assisted Thoracic Surgery,,Total,Provincial,2017,4,21,41,29,62
2017_q3,,Bladder Cancer Surgery,,Zone 1,Valley Regional,2017,3,40,207,31,100
2017_q3,,Thyroid or Parathyroid Surgery,,Total,Provincial,2017,3,33,106,63,415
2017_q4,,Carotid Endarterectomy,,Total,Provincial,2017,4,5,11,24,152
2016_q3,,Male Reproductive System Surgery,,Zone 3,Northside General,2016,3,112,209,68,428
2017_q2,,Colorectal Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2017,2,8,41,25,57
2016_q4,,Male Circumcision  (Pediatric),,Total,Provincial,2016,4,28,52,70,230
2017_q2,,Vascular Bypass Surgery,,Zone 1,Valley Regional,2017,2,,,55,72
2017_q1,,Prostate Cancer Surgery,,Total,Provincial,2017,1,26,93,48,97
2016_q4,,Cornea and External Disease,,Total,Provincial,2016,4,82,217,83,549
2016_q3,,Ear Tubes  (Pediatric),,Total,Provincial,2016,3,43,93,75,125
2017_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2017,3,10,13,51,77
2016_q3,,Breast Reconstruction,,Total,Provincial,2016,3,55,485,30,214
2017_q3,,Cardiovascular Surgery,,Zone 4,QE2,2017,3,,,14,57
2017_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Marthas Regional,2017,1,15,95,42,213
2017_q1,,Shoulder Arthroscopy,,Zone 4,QE2,2017,1,58,237,182,700
2017_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Northside General,2017,4,41,116,40,124
2017_q1,,Bowel Resection,,Zone 1,Yarmouth Regional,2017,1,22,56,33,88
2016_q4,,AV Fistula Creation/Closure,,Zone 4,QE2,2016,4,20,66,29,64
2016_q3,,Shoulder Arthroscopy,,Zone 4,QE2,2016,3,75,313,207,409
2017_q3,,Hip Replacement,,Zone 4,Dartmouth General,2017,3,35,537,405,746
2017_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2017,3,19,144,24,85
2016_q3,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,Valley Regional,2016,3,65,182,59,97
2016_q4,,Hysterectomy  (Cancer Suspected or Proven),,Total,Provincial,2016,4,16,41,33,51
2017_q3,,Cataract Surgery,,Zone 2,Aberdeen Hospital,2017,3,88,118,183,210
2016_q4,,Septoplasty,,Total,Provincial,2016,4,54,324,68,230
2016_q3,,Colorectal Cancer Surgery,,Total,Provincial,2016,3,13,43,23,45
2017_q1,,Brain Surgery  (Pediatric),,IWK,IWK,2017,1,,,23,50
2017_q1,,Knee Scope,,Zone 1,South Shore Regional,2017,1,41,224,83,247
2018_q1,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2018,1,35,142,48,174
2017_q1,,Gastric Surgery,,Zone 4,QE2,2017,1,19,36,27,43
2018_q1,,Head and Neck Surgery,,Zone 4,QE2,2018,1,16,49,23,76
2017_q3,,Gastric Surgery,,Zone 4,QE2,2017,3,,,40,108
2017_q1,,Melanoma Excision,,Zone 4,QE2,2017,1,6,19,13,46
2016_q3,,Hysteroscopy,,IWK,IWK,2016,3,42,122,57,120
2017_q1,,Coronary Artery Bypass Graft,,Total,Provincial,2017,1,,,8,42
2016_q3,,Back Surgery  (Pediatric),,Total,Provincial,2016,3,,,199,311
2016_q4,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2016,4,10,18,20,78
2016_q3,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2016,3,,,19,23
2016_q3,,Tear Duct Surgery,,Total,Provincial,2016,3,154,288,,
2016_q3,,Male Circumcision  (Adult),,Zone 4,QE2,2016,3,62,192,37,77
2017_q2,,AV Fistula Creation/Closure,,Total,Provincial,2017,2,30,70,22,49
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2016,4,150,241,72,196
2016_q3,,Carotid Endarterectomy,,Total,Provincial,2016,3,5,7,16,81
2016_q3,,Orthopaedic Trauma,,Total,Provincial,2016,3,4,305,19,154
2017_q3,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2017,3,,,57,191
2016_q4,,Ear Tubes  (Pediatric),,Zone 1,Yarmouth Regional,2016,4,,,22,50
2018_q1,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2018,1,35,167,27,75
2017_q2,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 3,Cape Breton Regional,2017,2,,,40,78
2016_q3,,Breast Cancer Surgery,,Zone 3,Cape Breton Regional,2016,3,7,20,15,28
2017_q1,,Cataract Surgery,,Zone 4,QE2,2017,1,113,205,83,259
2017_q1,,AV Fistula Creation/Closure,,Zone 3,Northside General,2017,1,,,29,45
2017_q2,,Hernia Repair  (Adult),,Zone 4,QE2,2017,2,100,192,75,274
2017_q3,,Cataract Surgery,,Zone 4,QE2,2017,3,70,242,79,206
2016_q3,,Hernia Repair  (Adult),,Zone 2,Cumberland Regional,2016,3,27,46,55,99
2016_q3,,Bladder Cancer Surgery,,Zone 4,QE2,2016,3,7,42,31,64
2016_q4,,Pelvic Floor Repair,,Total,Provincial,2016,4,67,189,89,243
2016_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Aberdeen Hospital,2016,4,,,57,109
2016_q4,,Knee Scope with ACL Repair,,Zone 4,Dartmouth General,2016,4,30,75,64,162
2017_q4,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2017,4,,,35,92
2017_q3,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2017,3,,,25,57
2017_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2017,1,,,71,212
2017_q1,,Cornea and External Disease,,Zone 4,QE2,2017,1,131,259,67,319
2016_q3,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2016,3,30,93,103,282
2017_q2,,Lymph Node Biopsy,,Total,Provincial,2017,2,12,21,18,59
2018_q1,,Cataract Surgery,,Zone 2,Cumberland Regional,2018,1,22,74,48,71
2017_q2,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2017,2,31,90,67,181
2017_q2,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2017,2,26,83,75,198
2016_q3,,Hip Replacement,,Zone 4,QE2,2016,3,58,219,167,750
2017_q2,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2017,2,24,111,33,76
2017_q4,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2017,4,61,210,21,23
2016_q3,,Hernia Repair - Umbilical,,Zone 1,Valley Regional,2016,3,20,59,48,94
2016_q4,,Cardiovascular Surgery,,Zone 4,QE2,2016,4,,,17,79
2017_q2,,Back Surgery  (Pediatric),,Total,Provincial,2017,2,,,273,521
2016_q3,,Hysterectomy  (Cancer Suspected or Proven),,Total,Provincial,2016,3,17,43,37,67
2016_q4,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2016,4,15,26,22,55
2017_q3,,Bladder Cancer Surgery,,Zone 4,QE2,2017,3,16,77,28,78
2016_q3,,Melanoma Excision,,Total,Provincial,2016,3,13,40,24,47
2017_q1,,Hysterectomy  (Cancer Suspected or Proven),,Zone 4,QE2,2017,1,15,34,41,62
2018_q1,,Gastrointestinal Tract Surgery,,Total,Provincial,2018,1,21,126,40,162
2016_q4,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2016,4,23,41,10,19
2017_q2,,Melanoma Excision,,Zone 4,QE2,2017,2,9,20,12,16
2016_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2016,3,30,68,38,76
2017_q2,,Head and Neck Surgery,,Zone 4,QE2,2017,2,13,56,20,281
2017_q4,,Knee Replacement,,Zone 3,Cape Breton Regional,2017,4,128,226,121,232
2017_q1,,Hysteroscopy,,Total,Provincial,2017,1,45,139,43,96
2017_q2,,Gallbladder Surgery,,Zone 1,South Shore Regional,2017,2,22,92,20,37
2016_q4,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2016,4,1720,2474,38,104
2017_q4,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2017,4,,,50,101
2017_q4,,Kidney / Upper Urinary Tract,,Total,Provincial,2017,4,43,332,48,126
2017_q3,,Prostate Cancer Surgery,,Zone 4,QE2,2017,3,15,51,50,101
2016_q4,,Bowel Resection - Open,,Zone 4,Dartmouth General,2016,4,34,133,24,43
2017_q2,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2017,2,49,123,57,113
2016_q4,,Spinal Cord Stimulation Surgery,,Total,Provincial,2016,4,,,33,56
2017_q4,,Gastrointestinal Tract Surgery,,Zone 1,Valley Regional,2017,4,31,36,79,111
2017_q3,,Colorectal Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2017,3,8,58,30,35
2016_q3,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2016,3,23,146,107,240
2017_q4,,Cardiovascular Surgery,,Zone 4,QE2,2017,4,,,5,70
2017_q2,,Bowel Resection,,Total,Provincial,2017,2,18,67,25,86
2016_q4,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2016,4,14,61,17,30
2017_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,St. Marthas Regional,2017,1,36,65,,
2016_q3,,Hernia Repair - Laparoscopic Ventral,,Total,Provincial,2016,3,14,70,48,88
2017_q4,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2017,4,,,14,56
2016_q3,,Nerve Surgery,,Zone 4,QE2,2016,3,112,176,28,127
2016_q4,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2016,4,72,84,40,155
2017_q1,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2017,1,64,215,42,392
2017_q2,,Ear Tubes  (Pediatric),,Total,Provincial,2017,2,43,111,45,92
2018_q1,,Bowel Resection - Laparoscopic,,Total,Provincial,2018,1,21,91,35,117
2016_q3,,Hernia Repair  (Adult),,Zone 4,QE2,2016,3,52,92,64,190
2017_q2,,Gallbladder Surgery,,Zone 3,St. Marthas Regional,2017,2,15,27,59,94
2017_q2,,Pelvic Floor Repair,,Zone 1,Valley Regional,2017,2,,,150,327
2017_q3,,AV Fistula Creation/Closure,,Zone 4,QE2,2017,3,20,36,31,62
2017_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2017,1,39,91,64,177
2017_q4,,Hysteroscopy,,Zone 3,Northside General,2017,4,28,105,31,55
2016_q3,,Kidney Stone Surgery,,Total,Provincial,2016,3,30,77,44,111
2017_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 4,Dartmouth General,2017,4,44,151,111,183
2017_q4,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2017,4,,,21,170
2017_q2,,Strabismus Surgery  (Pediatric),,Total,Provincial,2017,2,103,390,103,257
2017_q4,,Kidney Stone Surgery,,Zone 1,Valley Regional,2017,4,25,115,26,69
2018_q1,,Back Surgery  (Pediatric),,Total,Provincial,2018,1,,,124,274
2017_q1,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2017,1,30,81,53,111
2017_q4,,Brain Surgery  (Pediatric),,Total,Provincial,2017,4,,,19,65
2017_q1,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2017,1,17,56,27,90
2016_q4,,Back Surgery  (Adult),,Total,Provincial,2016,4,114,395,53,189
2016_q3,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2016,3,104,161,119,219
