Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2016_q4,,Cornea and External Disease,,Zone 4,QE2,2016,4,82,217,49,105
2016_q4,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2016,4,27,55,44,175
2016_q2,,Bowel Resection - Open,,Zone 1,South Shore Regional,2016,2,16,35,19,50
3month_rolling,,Septoplasty,,Zone 2,Cumberland Regional,2017,3,79,90,78,187
12month_rolling,,Bowel Resection - Laparoscopic,,Zone 4,Dartmouth General,2017,3,28,44,40,79
2016_q4,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2016,4,,,29,42
2015_q4,,Maxillofacial Deformity Surgery,,Total,Provincial,2015,4,91,186,60,461
2015_q4,,Kidney / Upper Urinary Tract,,Total,Provincial,2015,4,27,110,43,127
2016_q1,,Bowel Resection,,Zone 3,Cape Breton Regional,2016,1,16,27,13,73
2016_q1,,Hernia Repair - Umbilical,,Total,Provincial,2016,1,54,168,73,162
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Dempsey, Ian M",,,,,120,179,63,205
2015_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2015,4,10,21,27,41
2016_q2,,Endometrial Ablation,,Zone 3,Northside General,2016,2,33,67,27,75
2017_q1,,Spinal Cord Stimulation Surgery,,Total,Provincial,2017,1,,,22,86
12month_rolling,,Amputations,,Zone 3,Cape Breton Regional,2017,3,,,9,33
12month_rolling,General Surgery,Hernia Repair - Ventral,"McKenney, Roderick",,,,,29,97,81,125
12month_rolling,Plastic Surgery,Breast Reconstruction,"Morris, Steven F",,,,,10,10,407,580
2016_q1,,Female Incontinence Surgery,,Zone 4,QE2,2016,1,75,136,60,166
12month_rolling,Urology,Sacral Nerve Stimulation,"Cox, Ashley",,,,,7,97,79,142
2017_q2,,Hysteroscopy,,Zone 1,South Shore Regional,2017,2,23,60,30,43
2015_q2,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2015,2,88,123,91,142
2017_q2,,Hernia Repair - Umbilical,,Zone 2,Aberdeen Hospital,2017,2,15,17,,
2016_q2,,Foot - Bunionectomy,,Total,Provincial,2016,2,99,319,161,408
2016_q3,,Septoplasty,,Zone 4,Dartmouth General,2016,3,148,378,113,258
12month_rolling,,Bone / Cartilage Graft,,IWK,IWK,2017,3,,,158,305
2017_q1,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2017,1,41,100,40,131
2015_q2,,Ear Tubes  (Adult),,Zone 4,Dartmouth General,2015,2,,,46,78
12month_rolling,,Hernia Repair - Umbilical,,Zone 3,Northside General,2017,3,51,197,24,133
2017_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2017,2,49,121,50,126
2016_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2016,1,31,141,33,109
2015_q2,,Hip Replacement,,Zone 4,QE2,2015,2,96,172,164,515
12month_rolling,,Otoplasty,,Total,Provincial,2017,3,58,132,153,355
12month_rolling,,Gastric Surgery,,Zone 4,QE2,2017,3,19,48,36,91
2015_q2,,Gastrointestinal Tract Surgery,,Zone 1,Valley Regional,2015,2,19,90,46,66
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Yaffe, Paul",,,,,58,106,69,133
2017_q2,,Lung Cancer Surgery,,Total,Provincial,2017,2,22,41,40,65
2016_q2,,Hernia Repair - Umbilical,,Zone 4,QE2,2016,2,48,182,51,184
2016_q1,,Hernia Repair - Inguinal/Femoral,,Zone 4,Hants Community Hospital,2016,1,,,92,153
12month_rolling,,Hysteroscopy,,Zone 2,Cumberland Regional,2017,3,48,371,13,34
12month_rolling,,Aesthetic Surgery,,IWK,IWK,2017,3,36,45,162,233
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"O'Sullivan, Colleen M",,,,,35,83,29,96
2015_q4,,Hip Replacement,,Zone 4,QE2,2015,4,75,182,169,879
2016_q3,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2016,3,41,336,92,364
12month_rolling,Orthopaedic,Knee Scope with ACL Repair,"O'Brien, David A",,,,,246,404,65,142
2015_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Marthas Regional,2015,4,14,34,73,154
12month_rolling,,Vitreoretinal Diseases,,Total,Provincial,2017,3,15,78,21,117
2015_q3,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2015,3,19,89,32,80
12month_rolling,General Surgery,Gallbladder Surgery,"Nader, Nabil",,,,,17,28,32,55
12month_rolling,Orthopaedic,Hip Replacement,"O'Brien, David A",,,,,249,382,714,904
2017_q1,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2017,1,9,40,27,48
12month_rolling,General Surgery,All,"Neumann, Katerina",,,,,52,154,50,216
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Rudd, Michael W",,,,,69,162,80,137
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Northside General,2017,3,19,72,24,46
12month_rolling,General Surgery,Gallbladder Surgery,"Shih, Warren W",,,,,107,142,62,132
2015_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,New Waterford,2015,4,,,258,434
2016_q1,,Gallbladder Surgery,,Total,Provincial,2016,1,31,118,49,134
2015_q4,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2015,4,39,88,65,132
3month_rolling,,Pelvic Floor Repair,,Zone 1,Valley Regional,2017,3,,,121,151
2017_q1,,Cardiovascular Surgery,,Zone 4,QE2,2017,1,,,12,58
12month_rolling,,Bowel Resection - Open,,Zone 2,Colchester East Hants Health Centre,2017,3,18,84,30,70
2016_q3,,Hysteroscopy,,Zone 1,Valley Regional,2016,3,48,99,47,89
2016_q4,,Hernia Repair  (Adult),,Zone 3,Northside General,2016,4,65,273,53,133
2016_q4,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2016,4,32,131,92,387
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Adult),"Kujath, Magdalena",,,,,73,77,55,163
2015_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2015,2,58,84,23,47
2016_q4,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2016,4,28,172,197,345
2015_q4,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2015,4,38,67,96,131
12month_rolling,,Hernia Repair - Ventral,,Zone 3,St. Marthas Regional,2017,3,33,63,63,233
12month_rolling,Ophthalmology,Strabismus Surgery  (Adult),"Mayer, Kristine L",,,,,207,261,136,160
2016_q2,,Strabismus Surgery  (Adult),,Zone 4,QE2,2016,2,274,682,169,246
2017_q1,,Knee Replacement - Partial,,Zone 2,Aberdeen Hospital,2017,1,,,373,499
2017_q2,,Female Incontinence Surgery,,Total,Provincial,2017,2,100,258,108,264
3month_rolling,,Endometrial Ablation,,Zone 4,Dartmouth General,2017,3,,,45,50
12month_rolling,General Surgery,Thyroid or Parathyroid Surgery,"Clark, F Donald",,,,,30,35,69,72
12month_rolling,General Surgery,Gastric Surgery - Laparoscopic,"Wasserman, Lukas",,,,,15,77,110,184
2015_q3,,Hernia Repair  (Adult),,Zone 3,St. Marthas Regional,2015,3,40,148,59,198
2016_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2016,1,76,109,124,190
2015_q3,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 1,Valley Regional,2015,3,55,131,130,265
12month_rolling,Urology,Male Reproductive System Surgery,"Rent, Kenneth",,,,,122,324,69,133
2016_q4,,Dental Extractions and Restorations  (Adult),,Zone 3,New Waterford,2016,4,,,79,177
2016_q4,,Vitreoretinal Diseases,,Total,Provincial,2016,4,17,75,20,123
12month_rolling,Ophthalmology,Strabismus Surgery  (Pediatric),"Mayer, Kristine L",,,,,33,60,89,210
2015_q2,,Pilonidal Cyst Surgery,,Total,Provincial,2015,2,37,182,67,211
2016_q1,,Prostate Cancer Surgery,,Total,Provincial,2016,1,17,104,44,104
2016_q1,,Septoplasty,,Total,Provincial,2016,1,74,301,118,253
2015_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2015,3,49,70,51,72
2016_q3,,Hemorrhoidectomy,,Total,Provincial,2016,3,102,148,77,189
3month_rolling,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2017,3,21,99,37,198
2016_q3,,Knee Scope,,Zone 3,Cape Breton Regional,2016,3,61,95,23,105
3month_rolling,,Knee Scope,,Zone 4,Dartmouth General,2017,3,70,421,58,209
2017_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Total,Provincial,2017,1,20,114,28,79
2017_q2,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2017,2,52,105,127,357
12month_rolling,Otolaryngology (ENT),All,"Curry, Philip L",,,,,80,268,28,139
2015_q4,,Colorectal Cancer Surgery,,Zone 4,QE2,2015,4,15,42,24,50
2017_q2,,Shoulder Arthroplasty,,Zone 1,Valley Regional,2017,2,,,349,498
12month_rolling,Orthopaedic,Meniscectomy,"Urquhart, Nathan Alexander",,,,,94,493,142,184
2015_q3,,Knee Scope with ACL Repair,,Zone 4,QE2,2015,3,56,162,113,425
2015_q2,,Shoulder Arthroplasty,,Total,Provincial,2015,2,59,204,205,370
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Enright, Jonathan Boyde",,,,,272,464,164,323
2017_q2,,Hysteroscopy,,Zone 3,St. Marthas Regional,2017,2,51,126,113,195
2016_q2,,Female Incontinence Surgery,,Zone 1,Valley Regional,2016,2,,,201,263
2016_q1,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2016,1,41,114,27,35
2017_q2,,Breast Reduction Surgery,,Zone 3,St. Marthas Regional,2017,2,,,174,256
3month_rolling,,Cleft Lip/Palate  (Pediatric),,Total,Provincial,2017,3,,,96,335
2017_q1,,Brain Surgery  (Adult),,Total,Provincial,2017,1,29,229,44,158
2016_q2,,Hysteroscopy,,Zone 4,Dartmouth General,2016,2,17,35,37,106
12month_rolling,Ophthalmology,All,"Silver, M. Margaret",,,,,88,532,87,154
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Nader, Nabil",,,,,17,33,7,17
2016_q1,,Bowel Resection,,Zone 1,Yarmouth Regional,2016,1,19,57,21,58
12month_rolling,Ophthalmology,Cataract Surgery,"Dickinson, John D",,,,,48,81,67,167
12month_rolling,Urology,Male Circumcision  (Adult),"Padmore, Dave",,,,,26,102,57,94
2017_q1,,Insertion Vascular Access Catheter,,Total,Provincial,2017,1,7,45,16,56
2016_q4,,Cataract Surgery,,Zone 2,Cumberland Regional,2016,4,47,63,39,84
2016_q1,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2016,1,1794,2123,35,43
2017_q1,,Knee Scope,,Zone 4,Hants Community Hospital,2017,1,160,382,35,117
2016_q3,,Hip Replacement,,Zone 4,Dartmouth General,2016,3,221,241,567,891
2016_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2016,3,33,65,75,148
12month_rolling,,Endarterectomy,,Zone 4,QE2,2017,3,32,70,24,93
2015_q2,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2015,2,19,47,78,140
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Butler, Clay K",,,,,63,251,55,119
12month_rolling,,Pacemaker Insertion,,Total,Provincial,2017,3,8,25,22,46
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"Logan, Karl John",,,,,,,105,154
3month_rolling,,Hernia Repair - Incisional,,Zone 1,South Shore Regional,2017,3,68,127,30,57
2015_q3,,Ankle - Arthroscopy,,Zone 4,QE2,2015,3,39,644,,
2015_q2,,Male Reproductive System Surgery,,Zone 3,Northside General,2015,2,49,69,112,289
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Hart, Robert D",,,,,55,332,177,778
12month_rolling,,Liver Surgery,,Zone 4,QE2,2017,3,14,32,25,70
2015_q2,,Lacrimal Duct Probing,,Total,Provincial,2015,2,,,36,259
3month_rolling,,Male Circumcision  (Adult),,Zone 3,Cape Breton Regional,2017,3,,,25,69
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"Weeks, Adrienne",,,,,21,71,12,48
3month_rolling,,Carpal Tunnel Surgery,,Zone 1,Yarmouth Regional,2017,3,,,126,198
2016_q3,,Cataract Surgery,,Zone 2,Aberdeen Hospital,2016,3,98,120,153,173
2016_q2,,Bowel Resection - Open,,Zone 1,Valley Regional,2016,2,42,78,38,49
2015_q2,,Tubal Ligation,,Zone 1,Valley Regional,2015,2,29,67,51,119
12month_rolling,Orthopaedic,Knee Scope with ACL Repair,"El-Tahan, Tahmir H.",,,,,56,70,83,233
2016_q1,,Cardiac Valve Replacement,,Total,Provincial,2016,1,,,43,106
2017_q1,,Colorectal Cancer Surgery,,Zone 1,South Shore Regional,2017,1,28,57,,
3month_rolling,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2017,3,22,48,15,29
2016_q1,,Internal Defib Insertion / Loop Recorder,,Zone 4,QE2,2016,1,,,26,55
2016_q1,,Cystoscopy,,Zone 3,Northside General,2016,1,33,150,37,98
2015_q4,,Pelvic Floor Repair,,Zone 2,Colchester East Hants Health Centre,2015,4,22,48,,
2016_q4,,Whipple Procedures,,Total,Provincial,2016,4,,,18,42
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Minor, Samuel",,,,,72,109,51,92
12month_rolling,,Pilonidal Cyst Surgery,,Zone 4,Dartmouth General,2017,3,155,275,93,159
2017_q1,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2017,1,26,58,73,149
12month_rolling,Orthopaedic,Knee Replacement,"Sequeira, Stanislaus",,,,,140,486,527,772
2016_q2,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2016,2,31,126,51,143
2017_q1,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2017,1,54,104,78,126
2016_q3,,Bladder Cancer Surgery,,Zone 1,Valley Regional,2016,3,35,127,43,105
12month_rolling,,Splenic Surgery,,Total,Provincial,2017,3,21,28,34,87
2015_q4,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2015,4,49,192,108,230
2017_q2,,Vascular Bypass Surgery,,Total,Provincial,2017,2,24,47,43,122
2015_q3,,Cornea and External Disease,,Zone 4,QE2,2015,3,163,296,42,68
2017_q2,,Aesthetic Surgery,,Total,Provincial,2017,2,38,369,76,217
2015_q4,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2015,4,41,126,71,174
2015_q2,,Sinus Surgery,,Total,Provincial,2015,2,54,378,54,158
12month_rolling,,Bone / Cartilage Graft,,Zone 1,Valley Regional,2017,3,28,43,79,84
2015_q4,,Sacral Nerve Stimulation,,Zone 4,QE2,2015,4,,,108,322
12month_rolling,Plastic Surgery,Breast Reconstruction,"Hayden, David",,,,,344,611,121,286
2016_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Total,Provincial,2016,1,69,133,111,190
12month_rolling,Urology,Bladder Cancer Surgery,"Rent, Kenneth",,,,,22,94,22,78
2015_q2,,AV Fistula Creation/Closure,,Zone 3,Northside General,2015,2,,,9,26
2017_q2,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2017,2,37,113,13,57
2016_q3,,Bowel Resection,,Zone 1,Valley Regional,2016,3,17,49,31,65
12month_rolling,Plastic Surgery,Carpal Tunnel Surgery,"Atiyah, Abdulrazzak O",,,,,29,127,13,68
2017_q2,,Gallbladder Surgery,,Zone 3,Glace Bay,2017,2,,,33,63
2015_q4,,Breast Reduction Surgery,,Zone 4,QE2,2015,4,171,324,81,210
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Gilmour, Donna",,,,,135,172,352,547
2015_q4,,Hysteroscopy,,Total,Provincial,2015,4,36,134,43,105
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Rigby, Matthew Hall",,,,,12,35,22,44
12month_rolling,Otolaryngology (ENT),All,"Corsten, P Gerard",,,,,63,119,89,182
2016_q1,,Hysteroscopy,,Zone 1,South Shore Regional,2016,1,9,20,38,61
2016_q1,,Cystoscopy,,Zone 4,QE2,2016,1,28,106,38,182
2016_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,Northside General,2016,3,31,134,29,107
12month_rolling,Obstetrics/Gynaecology,All,"Nee, Brigid",,,,,56,120,106,147
2015_q2,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2015,2,7,30,25,46
2015_q4,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2015,4,36,103,95,175
2016_q1,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2016,1,22,142,55,100
2015_q2,,Hysterectomy  (Cancer Not Suspected),,Total,Provincial,2015,2,35,162,84,240
2017_q1,,Cardiovascular Surgery,,Total,Provincial,2017,1,,,13,58
2016_q3,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2016,3,29,92,34,86
12month_rolling,General Surgery,Peritoneal Lavage or Catherization,"Dunn, Rex S",,,,,,,18,47
2015_q2,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2015,2,,,37,66
2016_q1,,Foot - Bunionectomy,,Total,Provincial,2016,1,100,262,132,341
2016_q1,,Gastric Surgery - Laparoscopic,,Total,Provincial,2016,1,41,98,86,210
12month_rolling,Oral Maxillofacial,Bone / Cartilage Graft,"Doucet, Jean-Charles",,,,,,,158,278
12month_rolling,,Oculo Plastic Surgery,,Zone 1,Yarmouth Regional,2017,3,84,198,39,133
2016_q2,,Septoplasty,,Zone 4,Dartmouth General,2016,2,77,214,119,316
2015_q2,,Cardiovascular Surgery,,Zone 4,QE2,2015,2,,,41,108
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Nette, Farrell",,,,,176,261,61,119
12month_rolling,General Surgery,Gastric Surgery,"Helyer, Lucy K",,,,,26,42,38,92
2017_q1,,Hernia Repair  (Pediatric),,IWK,IWK,2017,1,21,41,31,169
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 1,Valley Regional,2017,3,28,39,36,80
2015_q4,,Bone / Cartilage Graft,,Total,Provincial,2015,4,52,230,102,155
2017_q1,,Lung Cancer Surgery,,Total,Provincial,2017,1,20,56,43,76
2016_q1,,Hernia Repair - Umbilical,,Zone 4,QE2,2016,1,44,100,86,142
2017_q2,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2017,2,41,142,48,276
2016_q1,,Ear Tubes  (Adult),,Zone 4,Dartmouth General,2016,1,,,42,109
2015_q4,,Cornea and External Disease,,Total,Provincial,2015,4,110,234,18,152
2016_q4,,Tubal Ligation,,Zone 1,South Shore Regional,2016,4,,,50,64
12month_rolling,General Surgery,Hernia Repair - Incisional,"Wasserman, Lukas",,,,,14,142,152,320
2016_q1,,Bladder Cancer Surgery,,Zone 4,QE2,2016,1,19,148,27,60
2015_q3,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2015,3,69,98,180,197
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Wasilewski, Leszek J",,,,,108,214,43,178
2015_q4,,Dental Extractions and Restorations  (Adult),,Zone 4,Hants Community Hospital,2015,4,11,34,20,56
2016_q3,,Knee Scope,,Zone 1,Yarmouth Regional,2016,3,97,357,166,385
3month_rolling,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2017,3,5,48,22,34
12month_rolling,General Surgery,Gallbladder Surgery,"Cole, Basilon",,,,,12,33,53,93
12month_rolling,General Surgery,Hernia Repair  (Adult),"Butler, Clay K",,,,,58,464,61,153
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Lee, Winifred W",,,,,,,106,185
12month_rolling,,Nissen Fundoplication - Laparoscopic,,Zone 2,Cumberland Regional,2017,3,49,67,43,78
