Period	Specialty	Procedure	Provider	Zone	Facility	Year	Quarter	Consult_Median	Consult_90th	Surgery_Median	Surgery_90th
12month_rolling	Dental	All	"Inglis, James"					49	250	90	155
12month_rolling	Dental	All	"Dyment, Heather"					209	587	86	391
12month_rolling	Dental	All	"Swinkles, Stephanie"							44	113
12month_rolling	General Surgery	All	"Neumann, Katerina"					56	140	47	124
12month_rolling	General Surgery	All	"Ignacio, Bayani S"					16	71	20	37
12month_rolling	General Surgery	All	"Watson-Jessome, Jane"					31	122	60	183
12month_rolling	General Surgery	All	"Davies, Dafydd Alexander"					12	39	52	122
12month_rolling	General Surgery	All	"Faryniuk, Andrea Marie"					27	65	30	69
12month_rolling	General Surgery	All	"Johnson, Kevin"					25	54	38	83
12month_rolling	General Surgery	All	"Ellsmere, James C"					153	2123	35	111
12month_rolling	General Surgery	All	"McGibney, Kieron"					35	139	35	103
12month_rolling	General Surgery	All	"Clark, F Donald"					32	70	48	107
12month_rolling	General Surgery	All	"Giacomantonio, Carman Anthony"					27	60	50	128
12month_rolling	General Surgery	All	"MacDonald, Blair"					29	72	34	78
12month_rolling	General Surgery	All	"Mitchell, Alex D"					112	225	72	166
12month_rolling	General Surgery	All	"Enright, Jonathan Boyde"					170	392	130	256
12month_rolling	General Surgery	All	"Klassen, Dennis R"					52	252	46	229
12month_rolling	General Surgery	All	"Dzierzanowski, Martin"					23	69	55	110
12month_rolling	General Surgery	All	"Murdoch, John L"					114	143	78	165
12month_rolling	General Surgery	All	"Lefel, Oleg"					14	49	69	207
12month_rolling	General Surgery	All	"Topp, Trevor J"					31	54	41	105
12month_rolling	General Surgery	All	"Hoogerboord, C Marius"					54	139	62	253
12month_rolling	General Surgery	All	"Smith, Philip Michael"					15	52	32	75
12month_rolling	General Surgery	All	"Alawashez, Abdulrahim S"					12	92	73	197
12month_rolling	General Surgery	All	"Romao, Rodrigo Luiz"					19	68	60	214
12month_rolling	General Surgery	All	"Butler, Clay K"					53	416	34	127
12month_rolling	General Surgery	All	"Wasserman, Lukas"					20	96	81	204
12month_rolling	General Surgery	All	"O'Malley, Vincent"					14	72	24	59
12month_rolling	General Surgery	All	"Mills, Jessica Louise"					12	27	42	100
12month_rolling	General Surgery	All	"Shih, Warren W"					94	168	84	160
12month_rolling	General Surgery	All	"Cole, Basilon"					18	52	47	125
12month_rolling	General Surgery	All	"Proctor, Irma Joan"					23	116	12	40
12month_rolling	General Surgery	All	"Lapierre, Stephanie"					18	49	16	39
12month_rolling	General Surgery	All	"Johnson, Paul M"					36	121	75	377
12month_rolling	General Surgery	All	"Archibald, Alison"					30	190	20	64
12month_rolling	General Surgery	All	"Porter, Geoffrey A"					13	34	21	70
12month_rolling	General Surgery	All	"Yaffe, Paul"					24	54	56	107
12month_rolling	General Surgery	All	"McKenney, Roderick"					37	101	52	115
12month_rolling	General Surgery	All	"Belen, Jaime"					1	14	34	138
12month_rolling	General Surgery	All	"MacGillivray, Barbara Jean"					23	85	28	72
12month_rolling	General Surgery	All	"Stoddart, Todd"					29	138	22	52
12month_rolling	General Surgery	All	"Hassan, Abdalla"					9	21	23	47
12month_rolling	General Surgery	All	"Calverley, Virginia C"					12	60	15	72
12month_rolling	General Surgery	All	"Alwayn, Ian"					23	41	30	80
12month_rolling	General Surgery	All	"Dunn, Rex S"					12	59	17	36
12month_rolling	General Surgery	All	"Wasilewski, Leszek J"					81	313	52	160
12month_rolling	General Surgery	All	"Minor, Samuel"					106	282	46	126
12month_rolling	General Surgery	All	"Kenyon, Chris"					40	80	74	252
12month_rolling	General Surgery	All	"Nader, Nabil"					27	74	35	65
12month_rolling	General Surgery	All	"O'Sullivan, Colleen M"					32	128	82	152
12month_rolling	General Surgery	All	"Walsh, Mark J"					20	37	28	127
12month_rolling	General Surgery	All	"Pillai, Neelakantan G."					27	54	27	57
12month_rolling	General Surgery	All	"Abdul Kadir, Najeeb Ahmed"					28	83	45	95
12month_rolling	General Surgery	All	"Murphy, Christopher"					8	46	26	135
12month_rolling	General Surgery	All	"Gallant, Paula"					11	68	16	71
12month_rolling	General Surgery	All	"Redwan, Hani"					30	85	15	51
12month_rolling	General Surgery	All	"Helyer, Lucy K"					12	36	23	75
12month_rolling	General Surgery	All	"Joy, Edward"					9	37	16	28
12month_rolling	General Surgery	All	"Lamey, Alicia"					19	52	19	53
12month_rolling	Neurosurgery	All	"Weeks, Adrienne"					15	71	12	102
12month_rolling	Neurosurgery	All	"Weise, Lutz"					30	90	22	80
12month_rolling	Neurosurgery	All	"Malik, Hatim G"					8	34	17	121
12month_rolling	Neurosurgery	All	"Pickett, Gwynedd"					61	229	40	134
12month_rolling	Neurosurgery	All	"Christie, Sean D"					165	761	49	188
12month_rolling	Neurosurgery	All	"Walling, Simon"					38	146	28	134
12month_rolling	Neurosurgery	All	"Barry, Sean"					67	141	52	115
12month_rolling	Neurosurgery	All	"Clarke, David B"					24	122	34	127
12month_rolling	Neurosurgery	All	"McNeely, P Daniel"					22	75	29	88
12month_rolling	Neurosurgery	All	"Alant, Jacob D"					62	253	36	70
12month_rolling	Obstetrics/Gynaecology	All	"Lee, Winifred W"							75	162
12month_rolling	Obstetrics/Gynaecology	All	"Parish, Barbara M"					45	111	81	161
12month_rolling	Obstetrics/Gynaecology	All	"Okuboyejo, Fazil"					20	32	18	32
12month_rolling	Obstetrics/Gynaecology	All	"Pugh, Cheryl"					27	77	24	50
12month_rolling	Obstetrics/Gynaecology	All	"Gardner, Angus J"					19	51	27	70
12month_rolling	Obstetrics/Gynaecology	All	"Farrell, Scott A"					175	281	93	189
12month_rolling	Obstetrics/Gynaecology	All	"Edgar, Dawn C"					68	188	69	195
12month_rolling	Obstetrics/Gynaecology	All	"Bent, Alfred"					32	71	83	153
12month_rolling	Obstetrics/Gynaecology	All	"Grimshaw, Robert N"					11	29	20	37
12month_rolling	Obstetrics/Gynaecology	All	"Osasere, Michael"					20	45	29	85
12month_rolling	Obstetrics/Gynaecology	All	"Vair, Brett"					31	72	31	44
12month_rolling	Obstetrics/Gynaecology	All	"Craig, Catherine M"					35	80	39	89
12month_rolling	Obstetrics/Gynaecology	All	"Jony, Louai"					25	121	60	101
12month_rolling	Obstetrics/Gynaecology	All	"Mawdsley, Scott D"					35	57	57	103
12month_rolling	Obstetrics/Gynaecology	All	"Rittenberg, David"					58	123	68	121
12month_rolling	Obstetrics/Gynaecology	All	"Delisle, Isabelle M"							4	4
12month_rolling	Obstetrics/Gynaecology	All	"Pierce, Marianne"					107	191	120	197
12month_rolling	Obstetrics/Gynaecology	All	"Gilmour, Donna"					121	409	137	473
12month_rolling	Obstetrics/Gynaecology	All	"Nette, Farrell"					89	261	36	89
12month_rolling	Obstetrics/Gynaecology	All	"Tynski, Gregory"					65	217	55	123
12month_rolling	Obstetrics/Gynaecology	All	"MacLellan, Erin"					46	101	39	98
12month_rolling	Obstetrics/Gynaecology	All	"Clague, Nicholas Paul"					28	73	44	92
12month_rolling	Obstetrics/Gynaecology	All	"Jorgensen, Sally"					26	67	27	56
12month_rolling	Obstetrics/Gynaecology	All	"Abutu, Natheniel"					49	91	48	83
12month_rolling	Obstetrics/Gynaecology	All	"Shettar, Channabasav"					6	28	43	134
12month_rolling	Obstetrics/Gynaecology	All	"Taiwo, Adedayo MD"					48	96	64	123
12month_rolling	Obstetrics/Gynaecology	All	"Rudd, Michael W"					50	123	40	96
12month_rolling	Obstetrics/Gynaecology	All	"Scott, Stephanie"					10	24	28	47
12month_rolling	Obstetrics/Gynaecology	All	"Bentley, James R"					15	30	38	59
12month_rolling	Obstetrics/Gynaecology	All	"Bouzayen, Renda"					63	203	64	148
12month_rolling	Obstetrics/Gynaecology	All	"Joshi, Changulanda"					50	84	62	111
12month_rolling	Obstetrics/Gynaecology	All	"Coolen, Anna"					77	245	38	68
12month_rolling	Obstetrics/Gynaecology	All	"Owen, Stephen Maldwyn"					15	42	49	87
12month_rolling	Obstetrics/Gynaecology	All	"Amir, Baharak"					120	216	101	229
12month_rolling	Obstetrics/Gynaecology	All	"Pink, Philip"					35	162	34	78
12month_rolling	Obstetrics/Gynaecology	All	"McCarthy, Leanne"					54	194	63	171
12month_rolling	Obstetrics/Gynaecology	All	"Kieser, Katharina E"					13	35	29	68
12month_rolling	Obstetrics/Gynaecology	All	"Braithwaite, Nicholas"					29	53	33	58
12month_rolling	Obstetrics/Gynaecology	All	"Sandland, Helen"					29	180	45	114
12month_rolling	Obstetrics/Gynaecology	All	"Katsafourou, Polytimi Anna"					22	119	11	20
12month_rolling	Obstetrics/Gynaecology	All	"MacQuarrie, Robyn M"					17	92	26	48
12month_rolling	Obstetrics/Gynaecology	All	"Houck, Leslie"					57	190	58	110
12month_rolling	Obstetrics/Gynaecology	All	"Van eyk, Nancy Ann"					68	150	61	149
12month_rolling	Ophthalmology	All	"Hammel,  Kenneth"					91	120	146	190
12month_rolling	Ophthalmology	All	"Seamone, Christopher"					111	331	16	77
12month_rolling	Ophthalmology	All	"Silver, M. Margaret"					57	104	73	133
12month_rolling	Ophthalmology	All	"Archibald, Curtis"					69	384	63	208
12month_rolling	Ophthalmology	All	"Al karmi, Rani Nasib"					157	365	83	244
12month_rolling	Ophthalmology	All	"Shuba, Lesya"					50	157	82	249
12month_rolling	Ophthalmology	All	"O'Brien, Daniel Michael"					7	62	63	217
12month_rolling	Ophthalmology	All	"Nicolela, Marcelo"					58	243	110	391
12month_rolling	Ophthalmology	All	"Carrillo, Monica"					32	119	34	104
12month_rolling	Ophthalmology	All	"George, Stanley"					81	119	118	230
12month_rolling	Ophthalmology	All	"Orr, Andrew C"					54	76	37	67
12month_rolling	Ophthalmology	All	"Murphy, Jeremy"					125	1249	34	135
12month_rolling	Ophthalmology	All	"Belliveau, Daniel"					173	190	101	202
12month_rolling	Ophthalmology	All	"Mohandas, Raj"					130	352	75	155
12month_rolling	Ophthalmology	All	"Gupta, Rudra Rishi"					43	123	54	156
12month_rolling	Ophthalmology	All	"Cheevers, Paul"					97	206	111	182
12month_rolling	Ophthalmology	All	"Robitaille, Johane"					129	452	145	433
12month_rolling	Ophthalmology	All	"Mishra, Anu"					27	107	34	83
12month_rolling	Ophthalmology	All	"Scott, Robert"					105	156	71	148
12month_rolling	Ophthalmology	All	"Hamilton, John"					136	263	128	227
12month_rolling	Ophthalmology	All	"Mann, Colin"					112	195	162	247
12month_rolling	Ophthalmology	All	"Laroche, G Robert"					154	646	169	399
12month_rolling	Ophthalmology	All	"De saint sardos, Alexandre Guy William"					106	170	53	109
12month_rolling	Ophthalmology	All	"Rafuse, Paul E"					135	198	169	263
12month_rolling	Ophthalmology	All	"Tan, Alexander"					93	174	56	127
12month_rolling	Ophthalmology	All	"Dickinson, John D"					27	95	54	166
12month_rolling	Ophthalmology	All	"Samad, Arif"					5	9	10	106
12month_rolling	Ophthalmology	All	"Rogers, Jamie"					36	54	106	154
12month_rolling	Ophthalmology	All	"Comstock, David"					117	187	134	246
12month_rolling	Ophthalmology	All	"Sivakumar, Saraswati"					69	266	34	218
12month_rolling	Ophthalmology	All	"Mayer, Kristine L"					113	188	63	168
12month_rolling	Ophthalmology	All	"Lakosha, Hesham"					114	259	107	251
12month_rolling	Ophthalmology	All	"Humayun, Muhammad"					1566	2652	135	223
12month_rolling	Oral Maxillofacial	All	"Ross, Ian W"					43	93	44	79
12month_rolling	Oral Maxillofacial	All	"Chiarot, Marco"					48	90	115	197
12month_rolling	Oral Maxillofacial	All	"Goodday, Reginald"					75	182	87	251
12month_rolling	Oral Maxillofacial	All	"Powell, Joel"					46	112	101	199
12month_rolling	Oral Maxillofacial	All	"Robertson, Chad G"					71	126	61	400
12month_rolling	Oral Maxillofacial	All	"Bourget, Louis"					26	76	31	95
12month_rolling	Oral Maxillofacial	All	"Gregoire, Curtis"					74	157	76	264
12month_rolling	Oral Maxillofacial	All	"Cyr, Philip L"					14	47	32	559
12month_rolling	Oral Maxillofacial	All	"Doucet, Jean-Charles"					118	182	128	438
12month_rolling	Oral Maxillofacial	All	"Davis, Benjamin"					128	210	93	285
12month_rolling	Oral Maxillofacial	All	"Brady, James"					62	119	75	171
12month_rolling	Orthopaedic	All	"Sequeira, Stanislaus"					139	731	242	540
12month_rolling	Orthopaedic	All	"Wong, Ivan"					229	466	261	738
12month_rolling	Orthopaedic	All	"Coady, Catherine M"					109	285	170	602
12month_rolling	Orthopaedic	All	"Amirault, John D"					231	290	246	575
12month_rolling	Orthopaedic	All	"Brien, Donald M"					138	323	98	280
12month_rolling	Orthopaedic	All	"Glazebrook, Mark A"					115	476	160	331
12month_rolling	Orthopaedic	All	"Beveridge,William K"					79	171	246	391
12month_rolling	Orthopaedic	All	"Urquhart, Nathan Alexander"					56	310	65	288
12month_rolling	Orthopaedic	All	"Hewins, Edward"					131	383	189	578
12month_rolling	Orthopaedic	All	"Dodd, Faith"					97	171	65	224
12month_rolling	Orthopaedic	All	"Leighton, Ross K"					55	622	129	640
12month_rolling	Orthopaedic	All	"Reardon, Gerald P"					84	237	323	757
12month_rolling	Orthopaedic	All	"Howatt, Eric"					77	329	278	862
12month_rolling	Orthopaedic	All	"Clarke, Gregory"					110	239	165	482
12month_rolling	Orthopaedic	All	"Coles, Chad P"					31	57	93	226
12month_rolling	Orthopaedic	All	"Gauthier, Luke Edward"					64	671	63	195
12month_rolling	Orthopaedic	All	"O'Neill, Michelle E"					95	161	120	311
12month_rolling	Orthopaedic	All	"El-Tahan, Tahmir H."					53	192	94	271
12month_rolling	Orthopaedic	All	"Logan, Karl John"					32	155	53	139
12month_rolling	Orthopaedic	All	"Richardson, Christopher Glen"					84	143	335	1222
12month_rolling	Orthopaedic	All	"O'Brien, David A"					153	253	242	773
12month_rolling	Orthopaedic	All	"Oxner, William"					162	532	78	224
12month_rolling	Orthopaedic	All	"Orrell, Kevin G"					88	149	51	162
12month_rolling	Orthopaedic	All	"McPherson, John"					45	131	51	119
12month_rolling	Orthopaedic	All	"Johnston, David G"					58	259	146	465
12month_rolling	Orthopaedic	All	"El-Hawary, Rany"					50	245	178	455
12month_rolling	Orthopaedic	All	"Glennie, Raymond Andrew"					92	178	130	212
12month_rolling	Orthopaedic	All	"Yepes, Horacio"					33	70	24	92
12month_rolling	Orthopaedic	All	"Morash, Joel"					111	770	39	127
12month_rolling	Orthopaedic	All	"Murphy, Nadia L"					148	358	159	266
12month_rolling	Orthopaedic	All	"Legay, Douglas A"					75	200	90	356
12month_rolling	Orthopaedic	All	"Biddulph, Michael Paul"					25	99	44	286
12month_rolling	Orthopaedic	All	"Trenholm, J Andrew I"					51	131	172	358
12month_rolling	Orthopaedic	All	"Gross, Michael"					64	170	93	184
12month_rolling	Orthopaedic	All	"Dunbar, Michael J"					84	457	115	528
12month_rolling	Orthopaedic	All	"Orlik, Benjamin"					48	179	88	269
12month_rolling	Orthopaedic	All	"Boudreau, Dennis Todd"					149	360	246	440
12month_rolling	Orthopaedic	All	"Hayward, Andrew"					83	162	149	456
12month_rolling	Otolaryngology (ENT)	All	"Hart, Robert D"					28	208	63	652
12month_rolling	Otolaryngology (ENT)	All	"Curry, Philip L"					71	279	33	111
12month_rolling	Otolaryngology (ENT)	All	"Corsten, P Gerard"					59	107	96	180
12month_rolling	Otolaryngology (ENT)	All	"Dempsey, Ian M"					120	435	72	240
12month_rolling	Otolaryngology (ENT)	All	"Maltby, Catherine Christine"					75	295	69	187
12month_rolling	Otolaryngology (ENT)	All	"Ruddy, James"					21	38	57	112
12month_rolling	Otolaryngology (ENT)	All	"LeBlanc, Robin B"					77	242	85	230
12month_rolling	Otolaryngology (ENT)	All	"Taylor, S. Mark"					27	289	23	412
12month_rolling	Otolaryngology (ENT)	All	"Morris, David P"					136	686	129	357
12month_rolling	Otolaryngology (ENT)	All	"Brown, Timothy"					73	341	95	351
12month_rolling	Otolaryngology (ENT)	All	"Hong, Paul"					55	105	75	213
12month_rolling	Otolaryngology (ENT)	All	"Brodarec, Ivan"					68	254	54	136
12month_rolling	Otolaryngology (ENT)	All	"Annamalai, Sivakumar"					6	92	45	134
12month_rolling	Otolaryngology (ENT)	All	"MacDonald, Joseph Gerard"					12	56	33	80
12month_rolling	Otolaryngology (ENT)	All	"Bance, Manohar"					248	597	147	484
12month_rolling	Otolaryngology (ENT)	All	"Massoud, Emad A"					107	252	187	288
12month_rolling	Otolaryngology (ENT)	All	"Kujath, Magdalena"					63	352	59	228
12month_rolling	Otolaryngology (ENT)	All	"Johnson, Liane"					88	116	78	189
12month_rolling	Otolaryngology (ENT)	All	"Clifton, Neil"					47	109	82	134
12month_rolling	Otolaryngology (ENT)	All	"Balys, Richard L"					42	273	98	263
12month_rolling	Otolaryngology (ENT)	All	"Wallace, Timothy D"					29	60	84	225
12month_rolling	Otolaryngology (ENT)	All	"Chokshi, Rashmikant G"					25	85	35	126
12month_rolling	Otolaryngology (ENT)	All	"Rigby, Matthew Hall"					14	126	27	163
12month_rolling	Otolaryngology (ENT)	All	"Smith, Andrew Neil"					71	153	55	235
12month_rolling	Otolaryngology (ENT)	All	"Trites, Jonathan R"					50	239	41	391
12month_rolling	Plastic Surgery	All	"Bezuhly, Michael"					52	112	134	326
12month_rolling	Plastic Surgery	All	"Paletz, Justin L"					34	145	32	117
12month_rolling	Plastic Surgery	All	"Boileau, Louis"					32	125	30	71
12month_rolling	Plastic Surgery	All	"Frank, Simon"					37	78	39	95
12month_rolling	Plastic Surgery	All	"Davis, George R"					36	170	40	202
12month_rolling	Plastic Surgery	All	"Brennan, Michael"					150	489	58	249
12month_rolling	Plastic Surgery	All	"Tang, David T"					54	118	22	40
12month_rolling	Plastic Surgery	All	"LeBlanc, Martin"					55	375	40	299
12month_rolling	Plastic Surgery	All	"Atiyah, Abdulrazzak O"					20	73	22	78
12month_rolling	Plastic Surgery	All	"Bendor-Samuel, Richard"					244	335	87	199
12month_rolling	Plastic Surgery	All	"Dickson, Lisa Marie"					25	163	97	263
12month_rolling	Plastic Surgery	All	"Stein, John D"					20	202	18	76
12month_rolling	Plastic Surgery	All	"Morris, Steven F"					3	3	101	251
12month_rolling	Plastic Surgery	All	"Williams, Jason G"					40	392	22	134
12month_rolling	Plastic Surgery	All	"Hayden, David"					37	157	84	261
12month_rolling	Thoracic Surgery	All	"Mujoomdar, Aneil Arvind"					21	47	31	113
12month_rolling	Thoracic Surgery	All	"Bethune, Drew C"					59	105	83	344
12month_rolling	Thoracic Surgery	All	"Plourde, Madelaine M"					48	111	36	87
12month_rolling	Thoracic Surgery	All	"McGory,Rodney W"					35	152	28	138
12month_rolling	Thoracic Surgery	All	"French, Daniel Gerard"					13	23	28	50
12month_rolling	Thoracic Surgery	All	"Henteleff, Harry J"					30	45	58	92
12month_rolling	Urology	All	"Butler, Trevor"					5	45	41	172
12month_rolling	Urology	All	"Bell, David G"					26	134	34	74
12month_rolling	Urology	All	"Massaro, Peter"					8	21	19	40
12month_rolling	Urology	All	"Lawen, Joseph G"					35	123	41	92
12month_rolling	Urology	All	"Padmore, Dave"					20	38	55	122
12month_rolling	Urology	All	"Asim, Hammad"					18	118	21	104
12month_rolling	Urology	All	"Grantmyre, John E"					44	90	36	103
12month_rolling	Urology	All	"Miller, M Dale"					18	140	23	99
12month_rolling	Urology	All	"Anderson, Peter A"					44	91	69	175
12month_rolling	Urology	All	"Palmer, Bruce"					49	153	53	322
12month_rolling	Urology	All	"MacLellan, Dawn"					47	97	137	217
12month_rolling	Urology	All	"T'ien, Wallace"					84	217	95	412
12month_rolling	Urology	All	"Lantz, Andrea"					25	67	45	184
12month_rolling	Urology	All	"Chun, Samuel S"					26	63	48	124
12month_rolling	Urology	All	"Puthenparumpil, Jacob"					57	105	62	162
12month_rolling	Urology	All	"Rent, Kenneth"					36	175	46	125
12month_rolling	Urology	All	"Bailly, Greg G"					64	146	44	184
12month_rolling	Urology	All	"Rendon, Ricardo"					7	15	49	131
12month_rolling	Urology	All	"McCarthy, John Paul"					6	36	38	97
12month_rolling	Urology	All	"O'Malley, Padraic"					17	105	27	68
12month_rolling	Urology	All	"Cox, Ashley"					1	63	55	134
12month_rolling	Urology	All	"Gajewski, Jerzy B"					27	456	101	363
12month_rolling	Vascular Surgery	All	"Smith, Matthew"					22	50	18	62
12month_rolling	Vascular Surgery	All	"Casey, Patrick J"					22	37	40	145
12month_rolling	Vascular Surgery	All	"MacKean, Gerald L"					302	404	41	179
12month_rolling	Vascular Surgery	All	"Lee, Min S"					20	50	28	107
12month_rolling	Vascular Surgery	All	"Heisler, Benjamin"					43	291	58	141
12month_rolling	Vascular Surgery	All	"Davidson, Dion"					85	350	55	335
12month_rolling	Vascular Surgery	Amputations	"Davidson, Dion"					35	585	21	39
12month_rolling	Vascular Surgery	Amputations	"Lee, Min S"					11	20	13	51
12month_rolling	Vascular Surgery	Amputations	"MacKean, Gerald L"					78	78	13	18
12month_rolling	Vascular Surgery	Amputations		Zone 2	Aberdeen Hospital	2016	4	6	92	25	86
12month_rolling	Vascular Surgery	Amputations		Total	Provincial	2016	4	26	154	21	82
12month_rolling	Vascular Surgery	Amputations		Zone 1	Valley Regional	2016	4	40	93	22	63
12month_rolling	Vascular Surgery	Amputations		Zone 1	South Shore Regional	2016	4	24	48		
12month_rolling	Vascular Surgery	Amputations		Zone 4	QE2	2016	4	19	154	19	58
12month_rolling	Vascular Surgery	Amputations		Zone 3	Cape Breton Regional	2016	4			21	75
2014_q4	Vascular Surgery	Amputations		Total	Provincial	2014	4	49	273	36	499
2014_q4	Vascular Surgery	Amputations		Zone 4	QE2	2014	4			123	499
2015_q1	Vascular Surgery	Amputations		Total	Provincial	2015	1	16	284	18	127
2015_q1	Vascular Surgery	Amputations		Zone 4	QE2	2015	1			11	482
2015_q2	Vascular Surgery	Amputations		Total	Provincial	2015	2	29	185	37	158
2015_q2	Vascular Surgery	Amputations		Zone 4	QE2	2015	2			48	146
2015_q3	Vascular Surgery	Amputations		Total	Provincial	2015	3	9	167	22	92
2015_q3	Vascular Surgery	Amputations		Zone 4	QE2	2015	3			9	20
2015_q4	Vascular Surgery	Amputations		Total	Provincial	2015	4	27	461	20	187
2015_q4	Vascular Surgery	Amputations		Zone 4	QE2	2015	4			24	198
2016_q1	Vascular Surgery	Amputations		Total	Provincial	2016	1	29	220	15	58
2016_q1	Vascular Surgery	Amputations		Zone 4	QE2	2016	1			19	82
2016_q2	Vascular Surgery	Amputations		Total	Provincial	2016	2	44	99	22	75
2016_q2	Vascular Surgery	Amputations		Zone 4	QE2	2016	2			19	30
2016_q3	Vascular Surgery	Amputations		Total	Provincial	2016	3	6	35	27	76
2016_q3	Vascular Surgery	Amputations		Zone 4	QE2	2016	3			10	42
2016_q4	Vascular Surgery	Amputations		Total	Provincial	2016	4	24	197	22	86
2016_q4	Vascular Surgery	Amputations		Zone 4	QE2	2016	4			25	55
12month_rolling	Cardiac Surgery	Aneurysm Repair	"Herman, Christine"					2	2	14	24
12month_rolling	Cardiac Surgery	Aneurysm Repair	"Wood, Jeremy R"					7	13	46	87
12month_rolling	Vascular Surgery	Aneurysm Repair	"Heisler, Benjamin"					19	33	51	83
12month_rolling	Vascular Surgery	Aneurysm Repair	"Smith, Matthew"					15	22	35	62
12month_rolling	Vascular Surgery	Aneurysm Repair	"Lee, Min S"					12	43	58	132
12month_rolling	Vascular Surgery	Aneurysm Repair	"Casey, Patrick J"					14	44	42	132
12month_rolling	Vascular Surgery	Aneurysm Repair	"MacKean, Gerald L"					14	49	65	154
